title,lyrics,release_date,Album,release_year,Word Count
Golden,golden golden golden open eyes hold focus hoping take back light know bright hopeless broken wait browns skin right golden  golden golden head know scared because hearts broken  wanna alone wanna alone ends wanna know wanna alone feel take hold feel take hold feel take control feel take control ever known lovin antidote golden might also like  golden wanna alone golden golden head know scared because hearts broken bridge golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden golden know scared open  golden wanna alone golden golden golden head know scared because hearts broken  ,2019-12-13,Fine Line,2019,128
Two Ghosts,same lips eyes blue same white shirt couple tattoos tastes sweet looks real sounds like something used feel touch  used used ghosts standin place trying remember feels heart beat  fridge light washes room white moon dances good side used need tongue tied like never known tellin stories already told cause really mean  used used ghosts standin place used used ghosts swimmin glass half empty trying remember feels heart beat might also like  bridge  used used ghosts standin place used used ghosts swimmin glass half empty trying remember feels heart beat  trying remember feels heart beat trying remember feels heart beat ,2017-05-12,Harry Styles,2017,115
Sweet Creature,another talk going wrong still young know going know belong  started hearts home hard argue stubborn know  sweet creature sweet creature wherever bring home sweet creature sweet creature when road bring home  sweet creature running garden nothing bothered still young always think speak enough might also like  started hearts home know hard argue stubborn know  sweet creature sweet creature wherever bring home sweet creature sweet creature when road bring home bridge  started just hearts home gets hard argue stubborn know  sweet creature sweet creature wherever bring home sweet creature sweet creature when road bring home bring home ,2017-05-02,Harry Styles,2017,114
She,nine morning drops kids school thinking like sends assistant coffee afternoon around like knows  lives daydreams first know know  takes boat imagines sailing away away away telling mates telling mates know wouldn know  lives daydreams first know know first lives daydreams know know bridge lives memory woman head just head sleeps while plays pretend pretend pretend pretend might also like  lives daydreams first know know first lives daydreams know know guitar solo ,2019-12-13,Fine Line,2019,84
"Sunflower, Vol. 6",sunflower sunflower eyes want melody inside wish could know sunflowers sometimes keep sweet memory tongue tied  wanna make feel trying hard talk sunflower sunflower sunflower  want more kiss kitchen like dance floor want more tonight tonight tonight tonight  wondering headshake tired eyes death mouthful toothpaste know face hung high gallery love shade sunflower sunflower your flowers died plant seeds melody inside wanna know might also like  wanna make feel trying hard fool sunflower sunflower sunflower  want more kiss kitchen like dance floor want more tonight tonight tonight tonight want more kids kitchen listen dancehall want more tonight tonight tonight tonight bridge sunflower eyes want melody inside wish could know sunflowers died keep sweet memory still tongue tied sunflower sunflower  sunflower sunflower sunflower sunflower yeah ,2019-12-13,Fine Line,2019,137
Little Freak,little freak jezebel high atop kitchen counter stay green little while bring blue lights dreams starry haze crystal ball somehow become paranoia dream dangling gift wasted  thinkin your delicate point view thinkin worried home thinkin just thinkin  dress halloween spilled beer friend sorry golf swing trampoline maybe again tracksuit ponytail hide body yoga gave wine ginger would make sure might also like  thinkin your delicate point view thinkin worried home thinkin  disrespected jumped feet first landed hard broken ankle karma rules never birthmark  thinkin your delicate point view thinkin worried home thinkin  just thinkin just thinkin ,2022-05-20,Harry’s House,2022,111
To Be So Lonely,blame falling little blame drunk caller wasn ready  blame darling even little away arrogant bitch admit sorry  call baby again reasons know tryna friends know mean call baby again hard home lonely  hope little better light think easy jealous kind cause miss shape lips trick sorry  call baby again reasons know tryna friends know mean call baby again hard home lonely might also like post  lonely lonely lonely lonely bridge arrogant bitch admit sorry  call baby again reasons know tryna friends know mean call baby again hard home lonely post  lonely lonely lonely lonely ,2019-12-13,Fine Line,2019,109
Late Night Talking,things quite same there haze horizon babe couple days miss yeah when nothing really goes plan stub break camera everything help through  feeling down wanna make happier baby wish around wanna make happier baby  doin late night talkin bout anything want morning life mind  never change follow place hollywood bishopsgate coming  feeling down wanna make happier baby wish around wanna make happi baby might also like  doin late night talkin bout anything want morning life mind post  mind mind mind even even mind mind  doin late night talkin bout anything want morning life mind post  mind late night talking mind late night talking even late night talking late night talking ,2022-05-20,Harry’s House,2022,128
Boyfriends,think easy they take granted they know they misunderstanding refrain back again  weakened deep starts secretly drinking gets hard know thinking refrain love fool knows skin still open door bridge closer halfway home only callin when wanna alone know might also like  boyfriends pretending they heading know game never ending refrain stay daydream feel fool back again  ,2022-05-20,Harry’s House,2022,73
Keep Driving,black white film camera yellow sunglasses tray swimming pool jump roof  small concern engine sounds held darkness withheld clouds would should keep driving  maple syrup coffee pancakes hash brown yolk always love  small concern engine sounds held darkness withheld clouds would should keep driving should keep driving bridge passports foot wells kiss tells wine glass puff pass cyborgs riot america science edibles life hacks going viral bathroom cocaine side boob choke view toothache move just normal moka monday good might also like  should keep driving should keep driving should keep driving ,2022-05-20,Harry’s House,2022,108
Love Of My Life,baby love life woah maybe know what lost till find  take walk sunday afternoon always find somethin really like what news time take every time away hotel usin someone else name remember back jonny place anymore  baby love life woah maybe know what lost till find want leave behind know land baby love life post  unfortunate just coordinates  know half well friends pretend doin everything know creases ends same might also like  baby love life woah maybe know what lost till find wanted leave behind know land baby love life   ,2022-05-20,Harry’s House,2022,106
Daylight,roof airplane seat nose bleedin looking life there readin horoscope cocaine kitchen never listen hope missing  bluebird would spoon honey could sticking  daylight cursing daylight daylight cursing daylight daylight calling times gonna sleep till daylight  york comedown speed bicycles saying there life ther antidote please picture middle time right might also like  bluebird would spoon honey could sticking  daylight calling times gonna sleep till daylight daylight cursing daylight daylight cursing daylight daylight calling times gonna sleep till daylight  bluebird would spoon honey could sticking ,2022-05-20,Harry’s House,2022,98
From the Dining Table,woke alone hotel room played myself fell back sleep drunk noon never felt less cool  spoke since went away comfortable silence overrated ever first break even phone misses call  friend know work said feel fine gave shirt more mine  written face comfortable silence overrated ever want even phone misses call bridge maybe call tell sorry maybe call tell sorry maybe call tell sorry never woke girl looked like almost said name might also like  spoke since went away comfortable silence overrated ever want even phone misses call spoke since went away comfortable silence overrated ever want even phone misses call ,2017-05-12,Harry Styles,2017,113
Cinema,gettin darling cool stubborn comes this guess time getting guess mine when sleeping  think cool cinema think cool post  tell want love want gimme that cinema that cinema  know feels right something move like dance think time time time doses night night night roof drive dust high sleep sleep sleep might also like  think cool cinema think cool think cool cool cinema cinema think cool cinema cinema  bring bring cinema bring cinema cinema cinema bring cinema intimate cinema cinema cinema bring cinema intimate baby cinema cinema cinema bring cinema intimate baby cinema cinema cinema bring cinema intimate baby cinema cinema cinema cinema bring cinema intimate ,2022-05-20,Harry’s House,2022,120
Music for a Sushi Restaurant,green eyes fried rice could cook late night game time coffee stove yeah sweet cream could flake blue bubblegum twisted round tongue  want lost want broke want interlude cause love babe every kind just little taste know love babe  know love babe might also like  excuse green music sushi restaurant from rice scuba duba dubub music sushi restaurant music sushi restaurant music whatever want scuba duba dubub  going lost going broke staying cool know love babe  know love babe bridge stars edible hearts never full could live taste just taste interlude cause love babe every kind just little taste know love babe  know love babe ,2022-05-20,Harry’s House,2022,121
Grapejuice,three  yesterday finally came sunny afternoon flowers thought could hide away corner heath there never someone perfect  said give something back then  there getting through without bottle rouge just  sittin garden couple glasses tryna count places been always there rthink whites pinks might also like  back then  there getting through without bottle rouge just just there getting through grape juice blues  three three three ,2022-05-20,Harry’s House,2022,79
Only Angel,angel really angel  open eyes shut mouth that still love happy getting stuck teeth there nothing broke finger knocking bedroom door splinters knuckles crawling cross floor couldn take home mother skirt short think that like  angel angel angel angel  must admit thought like make mine went business warning signs meetin hallway every single time there nothin told brother told that gonna angel wait when turns devil sheets there nothing might also like  angel angel angel angel angel angel angel angel post  wanna wanna right bridge wanna wanna wanna tonight wanna wanna wanna tonight yeah yeah yeah yeah wanna wanna wanna tonight yeah yeah yeah yeah  angel angel angel angel angel angel angel angel  ,2017-05-12,Harry Styles,2017,128
Meet Me in the Hallway,three four  meet hallway meet hallway left bedroom give morphine  just know door door hoping come around just know floor floor maybe work gotta better gotta better gotta better gotta better gotta better gotta better maybe work  walked streets running thieves cause left hallway give more just take pain away might also like  just know door door hoping come around just know floor floor maybe work gotta better gotta better gotta better gotta better gotta better gotta better maybe work  talk something cause without nothing else ,2017-05-12,Harry Styles,2017,99
Ever Since New York,tell something tell something know nothing pretend need something tell something choose words cause there antidote curse what waiting must hurt  tell something already know tell something already know  brooklyn empty news there water inside swimming pool almost over enough praying never before understand talking walls praying ever since york  tell something already know tell something already know tell something already know tell something already know might also like bridge tell something tell something know nothing pretend tell something  tell something already know tell something already know tell something already know tell something already know   ,2017-04-15,Harry Styles,2017,110
Woman,alex salibian should search romantic comedies netflix find  selfish know ever want selfish know told know never listen  hope shape while touching skin right should makin bleed  woman woman woman woman woman woman woman woman  tempted know apologies never gonna empty know promises broken like stitch might also like  hope shape while touching skin this thing upon howls like beast flower feast  woman woman woman woman woman woman woman woman  woman ,2017-05-12,Harry Styles,2017,85
Satellite,life bothering wanna talk share last line then drink wall till wanna talk  round round satellite  spinnin waitin pull lonely there know right here spinnin waitin pull lonely there know right here post  spinnin waitin  mood wanna talk said give might also like  round round satellite  spinnin waitin pull lonely there know right here spinnin waitin pull lonely there know right here bridge right here right here spinnin waitin here right here wishin could  spinnin waitin pull spinnin waitin lonely there know right here spinnin waitin spinnin waitin pull lonely there know right here spinnin waitin pull lonely spinnin waitin know right here ,2022-05-20,Harry’s House,2022,119
Carolina,yeah yeah yeah family carolina yeah away says remind home yeah feelin home yeah yeah never west coaster yeah moved cause grandma told yeah townes better swim drown yeah yeah  good girl good girl good girl feels good yeah  book every situation situation yeah gets parties without invitations yeah could ever turn down down down down down yeah yeah there drink think could sink yeah would tell think about yeah well guess found yeah yeah might also like  good girl good girl good girl feels good yeah feels good yeah bridge wrote song yeah wanna scream yeah wanna shout yeah hope hears yeah yeah interlude  good girl good girl good girl feels good feels good feels good feels good  good girl feels good yeah yeah yeah ,2017-05-12,Harry Styles,2017,139
Canyon Moon,gotta believe never looked blue hard leave that what always keep thinking back time canyon moon  world happy waitin door yellow broken blue heard jenny saying kids school keep thinking back time canyon moon refrain gone long  staring ceiling weeks home carry feeling paris rome still thinking back time canyon moon  going going going going going going home going going going going going going home might also like  quick pause conversation plays songs never heard lover hippie music pretends know words keep thinking back time canyon moon refrain gone long  going going going going going going home going going going home going going going home going going home yeah going going going home going going going home going going home ,2019-12-13,Fine Line,2019,133
Treat People With Kindness,lucius maybe find place feel good treat people kindness find place feel good  harry styles good feeling takin floating dreamin droppin deep  harry styles lucius long enough they sing song belong  lucius maybe find place feel good treat people kindness find place feel good  harry styles given second chances need answers feeling good skin keep dancin might also like  harry styles lucius long enough belong  lucius maybe find place feel good treat people kindness find place feel good bridge harry styles lucius another another friends pass away okay okay okay okay okay okay yeah here  lucius maybe find place feel good treat people kindness find place feel good  lucius harry styles ever want automatic time ever want auto time ever want automatic time ever want auto time maybe together time find place feel good yeah treat people kindness just little kindness find place feel good ,2019-12-13,Fine Line,2019,164
Daydreaming,livin daydream said love like paid know gone long give love give something dream about refrain  stay morning cause baby lovin real thing feels right when give love give something dream about love give something dream about give love give something dream about refrain might also like bridge livin daydream livin daydream livin daydream give love give something dream about  livin daydream livin daydream alright livin daydream give love give something dream about give love give love give something dream about alright give love give something dream about ,2022-05-20,Harry’s House,2022,101
