title,lyrics,release_date,release_year,Word Count
Tequila,letra tequila  yeah yeah yeah verso cans esperar calor calor todo nada decido quiero llores busques mandes flores coro mente olvida bebiendo tequila cans monoton mente olvida bebiendo tequila cans monoton verso solo quiero sean doce salir bailar toda noche bebiendo conoces contigo hacer poses coro quiero solo causas alegr ahora conoc salgo noche llego como antes quiero solo causas alegr ahora conoc salgo noche llego como antes coro mente olvida bebiendo tequila cans monoton mente olvida bebiendo tequila cans monoton puente baby tengo funda costeo confundas vivos calle muerto tumba siempre lista rumba coro quiero solo causas alegr ahora conoc salgo noche llego como antes quiero solo solo causas alegr ahora conoc salgo noche llego como antes coro mente olvida bebiendo tequila cans monoton mente olvida bebiendo tequila cans monoton  mente olvida bebiendo tequila,2022-03-24,2022,137
Last Christmas, merry christmas  last christmas gave heart next gave away this year save tears give someone special  once bitten twice keep distance still catch tell baby recognize well year surprise merry christmas wrapped sent with note saying love meant know fool been kissed know fool again  last christmas gave heart next gave away this year save tears give someone special  crowded room friends tired eyes hiding soul thought someone rely guess shoulder face lover fire heart girl undercover tore apart found real love never fool again  last christmas christmas gave heart heart next gave away gave away this year save tears give someone special  last christmas last christmas gave heart next gave away gave away this year save tears save tears give someone special special,2018-11-16,2018,131
Por Ti,letra verso pudiese protegerte tropiece aunque cosas mereces pero coraz pertenece aunque peleemo vece aunque veces enga aunque veces parezca extra vida entera acompa lagrimas coro todo todo todo verso levanto eres ritmo canto eres ritmo eres perfecto encantos dios cuide santo manto vida contigo tiene sentido prisi coraz estas recluido fueras materia hubiera ejercido negativo nunca consumido coro oscuridad fuiste todo llegaste llegaste limpiar alma toda calma coro todo todo todo puente todo todo limpiar alma toda calma todo todo limpiar alma toda calma verso pudiese protegerte tropieces aunque cosas mereces pero coraz pertenece aunque peleemo vece aunque veces enga aunque veces parezca extra vida entera acompa lagrimas ,2022-01-28,2022,110
Baby I’m Coming Home, snow falling running lights baby surprise surprise last minute catching flight gonna miss tonight matter  waiting since january celebrate side side gifts tree thing missing  worry holiday cause your present this year alone baby coming home worry stay promise worth wait cause this year alone baby coming home christmas  making door nervous like never never glad came right time  waiting since january celebrate side side gifts tree thing missing  worry holiday cause your present this year alone baby coming home worry stay promise worth wait cause this year alone baby coming home christmas  coming home this year alone baby coming home worry promise promise promise promise alone baby coming home christmas,2020-10-29,2020,118
Gone to Bed, tried block tried meditation looked around there imitation tested willpower patience comes back yeah comes back  cause thought leads text dumb know what next every time gonna last time keep believin  baby could know would cause should should should left head yeah really should gone baby could know would cause should good love actin sense yeah really gone post  point could would should baby could know would should left head yeah really gone  really want stay night twice kinda messed crossed line like hundred times best ever keep comin back never  cause thought leads text dumb know what next every time gonna last time keep believin  baby could know would cause should should should left head yeah really gone baby could know would cause should good love actin sense yeah really gone post  point could would should baby could know would should left head yeah really gone,2023-09-29,2023,155
Somebody That I Used to Know, think together like said felt happy could told right felt lonely company love ache still remember  addicted certain kind sadness like resignation always found could make sense well said would still friends admit glad over  make like never happened nothing even need love treat like stranger feels rough stoop have friends collect records change number guess need though somebody used know somebody used know somebody used know somebody used know uhmm,2012-04-18,2012,74
Under The Tree, talkin santa told everythin that want year went shoppin plannin ribbons candles right here  mistletoe champagne pour christmas mornin everything list waitin lookin know adore your favorite gift  find tree under tree waitin christmas christmas baby unwrap unwrap unwrap know right tree  next fire snowflakes falling know like guess santa listenin wishlist must checked twice  mistletoe champagne pour christmas mornin everything list everything list waitin lookin know adore your favorite gift under tree  find tree baby waitin christmas christmas baby unwrap unwrap unwrap yeah know right tree  right under right under right tree know right tree yeah right tree know right tree,2023-11-03,2023,109
Have Yourself A Merry Little Christmas, ally brooke have merry little christmas heart light from troubles sight have merry little christmas make yuletide from troubles miles away  ally brooke here olden days happy golden days yore faithful friends dear will near more  dinah jane years together fates allow hang shining star upon highest bough merry little christmas have merry little christmas have merry little christmas have merry little  ally brooke dinah jane here olden days happy golden days yore faithful friends dear will near more  ally brooke dinah jane both through years together together fates allow allow hang shining star star upon upon highest bough have yourself merry little christmas merry little christmas  dinah jane ally brooke right right christmas merry little christmas have merry little christmas merry little christmas have merry little christmas merry christmas have merry little merry christmas have merry little merry little christmas christmas,2023-12-01,2023,148
Be You, hard doesn like wear mask front them secretly heart tugs telling  dare turn them know that really wanna like them really wanna like them ahead yourself like someone else well yeah ahead post  yeah  take backwards step thinking gonna heart wrong again think right  dare turn them know that really wanna like them really wanna like them ahead yourself like someone else well yeah ahead bridge what will turn listen heart cause skin gonna better bein myself here words  woah dare turn them know that know that really wanna like them ahead yourself like someone else well yeah ahead  yeah yourself like someone else well yeah ahead think gonna,2018-01-07,2018,116
High Expectations, tired high expectations assumed prodigal chip block thankful even better  tell high expectations with doubted post  they never really knew like could could  nothing fortune fame associated silly last name please realise dream again  tell high expectations with doubted tell high expectations with doubted,2022-03-15,2022,49
With You,wanted stay even know tell,2011-11-15,2011,5
