title,lyrics,release_date,Album,release_year,Word Count
All Yours, there somethin likin much frightenin bite like python fight like tyson like dyson never planned like could cherry cake make icin  said that mine spread like wildfire like mind like twice like flip flip drippin this kitty midas touch turn gold  head like like like right like take like right like head like like like right like take like right like  cause automatic kind magic rendezvous voulez vous want deep deep yeah wanna deep deep deep deep roll like beep beep beep beep take leap leap believe turn like turn leaf baby could come pick tree know like sweet sweet sweet knees weak exhale breathe  said that mine spread like wildfire like mind like twice like flip flip drippin this kitty midas touch turn gold  head like like like like right like take like take like right like head like head like like like like like right like right like take like take like right like right like yeah bridge yours from stairs floor yours yours mine  head like head like like like like right like take like take like right like head like head like like like like like right like right like take like take like right like right like,2024-06-14,DOPAMINE,2024,209
Still, still tippin four fours wrapped wrapped four vogues pimpin pimpin four hoes packin still  back want keep lights flash shakin with girls spendin money still still still strip club feet houston raised nola made star diva  still goin section still standin couch gettin reckless yeah saucin like dressin christian dior blessin busy livin life yeah even message still smoke like bitch could exes still  still sexy still still extra with girls flexin still still still sexy still still extra with girls still post  still tippin four fours still wrapped wrapped four vogues still pimpin pimpin four packin still still tippin four fours still still wrapped wrapped four vogues still still pimpin pimpin four hoes packin interlude still pimpin four hoes packin still  swinging like double yeah gold grill diamonds teeth yeah yeah pimpin hold pimp still still still hold city real niggas badass women never seen pretty yeah  still goin section still standin couch gettin reckless yeah saucin like dressin christian dior blessin busy livin life yeah even message still smoke like bitch could exes still  still sexy still still extra with girls flexin still still still sexy still still extra with girls flexin still post  still tippin four fours still wrapped wrapped four vogues still pimpin pimpin four hoes packin still still tippin four fours still still wrapped wrapped four vogues still still pimpin pimpin four hoes packin  still still still still still tippin four fours wrapped wrapped four vogues pimpin pimpin four hoes packin still tippin four fours wrapped wrapped four vogues pimpin pimpin four hoes packin,2024-06-14,DOPAMINE,2024,269
Insomnia, normani thought going crazy better lately finally stopped tears runnin know that gotta count somethin decide reminisce history whiskey wonder really miss  normani device tells fine cause moment line wonder know movin cause seems like really love make shit impossible  normani brandy wish call there much reminds cause every time call givin insomnia wish didn wish call yeah wish didn yeah wish didn there much reminds wish didn wish didn cause every time call wish didn wish didn givin insomnia post  normani insomnia givin insomnia insomnia insomnia givin insomnia  normani turned inconvenience want convenient know could probably block reason wanna know give damn sittin thinkin name triggers emotions turn eyes ocean  normani like device tells fine cause moment line wonder know movin cause seems like really love make shit impossible  normani brandy wish call call there much reminds cause every time call yeah givin insomnia wish call wish didn wish call yeah wish didn there much reminds there much reminds wish didn wish didn cause every time call yeah wish didn wish didn givin insomnia post  normani insomnia insomnia givin insomnia insomnia insomnia givin insomnia guitar solo  normani brandy insomnia givin insomnia wish call wish didn somethin reminds wish didn wish didn cause every time call wish didn wish didn insomnia yeah there much reminds wish didn insomnia wish didn cause every time call wish call call insomnia insomnia insomnia,2024-06-14,DOPAMINE,2024,239
Lights On, yeah right there know feel  even address unless undress less undress yeah tryna mouth cause money impress make moves better make look sexy make shit sexy house rule request please tonight want  love lights love lights fuckin star mean face card show switch love lights love lights fuckin star give rounds applause know perform post  lights lights lights lights lights  make come fast like sports blink twice already over when ride something like might finish lookin yeah know everything make look sexy know fair make stare tonight want  love lights love lights fuckin star mean face card show love switch love lights love lights fuckin star give rounds applause know perform lights post  would shit mind believe shit would shit lights mind believe bitch bridge there somethin said about when things feel good look look good feel this lights  love lights love lights lights fuckin star mean face card show switch love lights love lights fuckin star give rounds applause know perform lights post  would shit mind believe shit would shit lights mind believe bitch would shit mind believe shit would shit mind believe bitch  right there lights lights,2024-06-14,DOPAMINE,2024,199
Tantrums, normani drop took minute hard tryin look back never thought like that said hard tryin back finished know that know that shit find back tantrums baby throw that like baby grown know that  normani nobody somebody used know used know somebody taken time call time call nobody somebody used fuck time time that alright cause nobody somebody playing games playing games nobody never ever look same when loves like baby name used automatic refrain james blake normani could make better never watch  james blake ever said what said would held darling held evidence evidence evidence grow while lies lies lies lies well must know refrain james blake normani could make better surround bridge normani never watch away never okay brakes hell done  normani james blake normani nobody somebody used know somebody taken time call nobody somebody used fuck time time that alright cause nobody somebody playing games nobody never ever look same when loves like baby name used automatic,2024-06-14,DOPAMINE,2024,163
Take My Time, ways explain emotions start racin every time close yeah feelin keep chasin  almost there stop thinking wonder what keeping seein seein considering spell yeah  cause want take time take time take time baby take forever cause want take time time take time baby take forever  wasn prepared although ways feelin right none matters come hidin  almost there stop thinking wonder what keeping seein seein considering spell yeah  cause want take time take time take time baby take forever want take time time take time baby take forever yeah cause want take time take time take time baby take forever want take time time take time baby take forever yeah bridge want take time want take want baby baby want take time want take want baby baby  cause want take time take time take time baby take forever cause want take time time take time baby take forever yeah  take time yeah take forever yeah yeah take forever,2024-06-14,DOPAMINE,2024,165
Little Secrets, girl around want automatic want miss already yeah heard talkin down promise baby girl want static snap fingers make happen want like magic  upstage bitch upgrade shit  tell know drippin like this know standin like this know thinkin like this movin like know like know like post  baby hidin know find know like  mood mood baby might turn judgin thought knew life movie makin almost cinematic heard talkin loud calm down skip dramatics cause baby girl enemy bring energy match  upstage bitch upgrade shit  tell know drippin like this know standin like this know thinkin like this movin like know like know like post  baby hidin know find know like bridge come caught zone playin games played games long must know know must know know just zone  upstage bitch upgrade shit  tell know drippin like this know standin like this know thinkin like this movin like know like know like post  baby hidin know find know like  upstage bitch upgrade shit,2024-06-14,DOPAMINE,2024,173
Grip, kung grip kung grip  thicky thicky vibe around city rollin sticky sticky backed outside litty litty pretty bitches want gimme gimme pretty face thick thighs hips hypnotized feel like biggie biggie yeah  deny eyes love view provide want baby want love  sexy independent real pretendin vibe hidin kung grip slide know  thicky thicky vibe around city rollin sticky sticky backed outsid litty litty pretty bitches want gimme gimme pretty face thick thighs hips hypnotized feel like biggie biggie yeah yeah  come grip grown kids grip said come slide like said need ride like grip need ride like this want love  sexy independent yeah real pretendin yeah vibe hidin kung kung grip slide kung grip know  thicky thicky vibe around city rollin sticky sticky backed outside litty litty pretty bitches want gimme gimme pretty face thick thighs hips hypnotized feel like biggie biggie  kung grip kung kung grip,2024-06-14,DOPAMINE,2024,156
Distance, said never gonna make want myself never gonna lose again reason never gonna first gonna change ending never gonna make mess always gonna make amends  time this time time time hear side give mine time mine cause fell love potential yeah caus made heart unavailable yeah  need love distance from distance tired fighting attention much really listen when need always missing need love distance asking permission tried everything yeah from distance  said gonna peace ride ride yeah disagree know went wrong this  this time time this time gonna hear side side give mine time mine mine woah know cause fell love potential yeah yeah cause made heart unavailable thousand times that  need love distance love distance tired fighting attention much really listen much really want when need always missing never really there need love distance love distance asking permission tried everything tried everything everything yeah from distance ,2024-06-14,DOPAMINE,2024,154
Motivation (Savage Remix), normani savage break motivation stay give tonight baby turn around give innovation cause right gang gang  savage normani look took know swear read like book straight motivation come home cook took like savage crook living know hook facts past good popstar hangin hood call home depot fill wood straight play smoke capeesh understood straight louis slides yeah chanel purse every bags brand spider drop drive skrt flirty bring round guys take personal baby sometimes libra hear rumors high touch ground compliment other yeah  normani break motivation stay give tonight baby turn around give innovation cause right think think think take look little motivation alright  normani baby yeah baby know there better better yeah late make tell yeah naked tell cause know there better better  normani fallin would ever somethin instead fallin right right  normani break motivation stay give tonight give tonight baby turn around give innovation cause right think think think take look little motivation alright bridge normani little motivation  normani break motivation stay give tonight baby turn around give innovation cause right think think think take look little motivation alright  normani,2019-10-28,Motivation - Single,2019,190
Sing to You, takes star light night clouds make rise  melody line sing time little song mine sing time goes like oooooooooh want  sing lift down sing when there left around voice take control feel soul when sing just sing gotta listen listen listen  when days seem longer dreams seem away little note makes melody line sing time goes like ooooooooo want  sing lift down sing when there left around voice take control feel soul when sing just sing gotta listen listen  sing lift down sing when there left around voice take control feel soul when sing just sing gotta listen  when days seem longer dreams seem away little note makes okay  melody line sing time time little song mine sing time goes like ooooooooooh want  sing lift down sing when there left around voice take control feel soul when sing just sing bridge lend symphony orchestra conduct melody guide open eyes sing listen  sing lift done sing when there left around voice take control feel soul when sing just sing gotta listen,2013-09-05,,2013,180
