title,lyrics,release_date,Album,release_year,Word Count
Love Me Like You,jade might biggest mean drive wild miles said lotta darlin love dreamin  leigh anne they romance nasty that want that want baby baby come save need numbers number  jesy last night laid blue cause realized truth love like tried find somebody baby clue love like  jesy used pourin love could never enough dealin when really need like  perrie they romance nasty that want that want baby baby come save need lovers number  last night laid blue cause realized truth love like tried find somebody baby clue love like post  love like love like bridge love give when want every love give when want every  perrie jesy leigh anne last night blue blue cause realized truth love like love like tried find somebody baby clue love like love like love give last night blue want everyday cause realized truth love like love give tried find somebody baby clue love like,2015-09-25,Between Us,2015,158
Bounce Back,jesy nelson steady ready ready what going what going steady ready ready what going what going  jesy nelson tell know bout bout welcome city sweet where sweet know takin vita vita that jeans jeans watch know like move move that heat wave make wanna cool back cool back hear sayin baby bring bounce back bring bounce back gonna make bring bounce back bring bounce back  jade thirlwall gonna stay come right alright baby gonna stay  jesy nelson however want however need however want however need however want bring bounce back bring bring bounce back however need bring bounce back bring bring bounce back however want bring bounce back bring bring bounce back however need  perrie edwards leigh anne pinnock jade thirlwall girl dreams dreams better give need what need wear body like throwback throwback better move throw back throw back baby keep wetter bayou bayou walk right baby touch tease keep easy  perrie edwards gonna stay come right alright baby gonna stay  perrie edwards jesy nelson however want however need however want however need however however want bring bounce back bring bring bounce back however need bring bounce back bring bring bounce back however want bring bounce back bring bring bounce back however need  bridge  leigh anne pinnock gonna stay come right alright baby gonna stay  jesy nelson perrie edwards however want bring bounce back bring bring bounce back however need bring bounce back bring bring bounce back however want bring bounce back bring bring bounce back however need however bring bounce back bring bring bounce back however want bring bounce back bring bring bounce back however need bring bounce back bring bring bounce back however want bring bounce back bring bring bounce back however need bring bounce back bring bring bounce back,2019-06-14,Between Us,2019,303
Not a Pop Song,jade they look picture perfect look deeper surface bubblegum always pops stars fade life never stops  leigh anne leigh anne jesy simon says message cause read that life never plays fair said follow dream puppet string works  this another song bout fallin love party song bout drinks drugs singing songs bout breaking heart lonely nights dancin dark guilty pleasure want life forever take cause anything better than another song bout fallin love wanna sing along give what  jesy jesy perrie jesy leigh anne hamster wheel that feels tryna real these unrealistic expectations said make fake  leigh anne jesy simon says message cause read that life never plays fair said follow dream puppet string works  jade leigh anne jesy this another song bout fallin love party song bout drinks drugs drinks drugs drugs singing songs bout breaking heart lonely nights lonely nights dancin dark dark guilty pleasure pleasure want life forever forever take cause anything better than another song bout fallin love wanna sing along give what bridge perrie perrie jesy broken bottles glitter floor night before troubles that came know that  jade perrie leigh anne this another song bout fallin love party song bout drinks drugs singing songs bout breaking heart lonely nights dancin dark guilty pleasure pleasure want life forever ever take cause anything better thing better another song than another song bout fallin love wanna sing along yeah wanna sing along give what  jade jesy song give woah song wanna sing along give what,2020-10-09,Between Us,2020,254
Hair,perrie leigh anne jesy switch switch yeah yeah  leigh anne perrie call girl cause problem what only curl gonna solve really care just hair yeah  jesy jade switch shoulder enough take longer swear like yeah  leigh anne gotta hair gotta hair gotta hair gotta hair  cause knew going sitting chair like care gotta hair tried everything useless pushed edge make disappear girl hair  jade leigh anne jesy okay gonna bleach what peroxide hair floor like memory feel brand that right this chick  perrie leigh anne going worries drama seems funny hahaha hands like yeah  leigh anne perrie gotta hair gotta hair gotta hair gotta hair hair yeah  jesy perrie leigh anne cause knew going sitting chair going going like care gotta hair tried everything useless pushed edge edge woah make disappear girl hair breakdown perrie leigh anne jesy jade switch switch woah switch switch woah bridge jade girlfriend need phone erase number call back cause deserve club just flick hair show love cause enough woah  jesy leigh anne perrie cause knew yeah yeah going sitting chair like care gotta hair tried everything useless pushed edge pushed edge make disappear girl hair post  jade leigh anne perrie jesy girl hair yeah yeah girl hair hair yeah yeah yeah gonna gonna yeah yeah  jesy leigh anne jade gotta hair hahaha hair yeah,2015-11-06,Between Us,2015,232
Love Me or Leave Me,jesy  jesy used tell loved once what happened what happened where coming from what happened what happened crazy there nothing wrong lyin know know baby become what happened  jesy used never angry ever lately turning away like hate hate hate  perrie take heart heal break apart fair love leave here post  perrie love leave here love leave here  jade remember loved once what happened what happened hold because what happened  jade used never angry ever lately turning away like hate hate hate  perrie take heart heal break apart fair love leave here post  perrie love leave here love leave here bridge jade love baby please cause could still need close enough feel breathe yeah could still place instead running from  leigh anne take heart heal break apart fair love leave here post  leigh anne love leave here love leave,2015-11-06,Between Us,2015,150
Think About Us,perrie when dancin club nights getting hard think think when music gets loud girls around think think  jade jesy cause think when hotel room need love know body babe missin touch want call girls club walk crowd find love look eyes whole world stop woah  leigh anne hand waist pull close promise  perrie dancing club fire touch think think when deeper crowd feel body think woah refrain perrie jade think think thinkin bout thinkin bout thinkin bout woah thinkin bout thinkin bout woah thinkin bout think think thinkin bout thinkin bout thinkin bout woah thinkin bout thinkin bout woah think  jesy jade cause think shake baby stuck like glue alone body even know things touch need love baby club nobody else know nobody else know woah  leigh anne hand waist pull close promise  perrie leigh anne dancin club fire touch think think when deeper crowd feel body think woah refrain perrie jade think think thinkin bout thinkin bout thinkin bout woah thinkin bout thinkin bout woah thinkin bout think think thinkin bout thinkin bout thinkin bout woah thinkin bout thinkin bout woah think bridge think think think wanna know wanna know think think think refrain perrie think think thinkin bout thinkin bout thinkin bout woah think baby woah think baby think think thinkin bout thinkin bout thinkin bout thinkin bout woah thinkin bout thinkin bout really wanna know woah think  perrie think think think wanna know think,2018-11-16,Between Us,2018,245
Break Up Song,leigh anne this second chance baby this romance tonight this nights cried baby hoping could could love right  jesy good myself yeah find dance without middle crowd forget pain inside  tonight sing another another break song turn play times screwed over play just another break song post  tears gonna anything mind gonna dance under lights anything mind  perrie even gonna call baby best thing ever think could save gonna take back like woah  jesy leigh anne cause good myself yeah find dance without dance without middle crowd forget pain inside  leigh anne jesy tonight sing another another break song break song turn play times screwed over play just another break song post  perrie tears gonna anything mind gonna dance gonna dance under lights under lights anything mind bridge jade jesy leigh anne wanna turn back time cause what another lonely night know lights good without good good good tears cried sing louder tonight play runnin woah  leigh anne jade perrie tonight sing another another break song another break song babe turn play yeah yeah times screwed times screwed over play just another break song  jesy jade wanna turn back time cause what another lonely night lonely night baby know lights good without good good good tears cried sing louder tonight play just another break song,2020-03-27,Between Us,2020,225
No More Sad Songs,jesy jesy jade  perrie keep tryin nothing workin still wanna know alone keep tryin behind still wanna know taking home  leigh anne tonight gonna mind care someone hands body stay night music loud think beggin please play  leigh anne songs songs songs beggin please play songs songs songs beggin please play songs  jesy jade jesy perrie dancing danger talking strangers care yeah just alone yeah they never know like used know  jade jade jesy tonight gonna mind care someone hands body yeah stay night music loud think beggin please play  jade songs songs songs beggin please play songs songs songs beggin please play post  leigh anne jade songs songs songs songs songs songs bridge jesy jesy jade perrie goin home take long round lights pass back windows woah still mind woah starting realise woah matter hurt tryna hurt turn music loud drown beggin please play more  perrie leigh anne songs songs more songs beggin please play beggin beggin more songs songs more songs beggin please play  jade leigh anne songs songs songs songs songs songs songs,2016-11-18,Between Us,2016,186
Wings,mama told waste life said spread wings little butterfly keep night give walk  jesy jade feet feet touch ground hear sound keep running mouth yeah walk walk there cause care yeah  leigh anne perrie your words mean thing listening keep talking know  perrie jade mama told waste life said spread wings little butterfly keep night detain cause wings made nobody bring down down matter hurt matter fall these wings made  perrie leigh anne firing runway know gonna someday need ready steady talk talk turns even care yeah  leigh anne perrie your words mean thing listening keep talking know  perrie mama told waste life said spread wings little butterfly keep night detain cause wings made nobody bring down down down matter hurt matter fall these wings made bridge leigh anne need sayin hear sayin better keep walkin wanna hear talking better keep walkin wanna hear talking  perrie your words mean thing mean thing listening listening they like water wings  perrie mama told waste life woah said spread wings little butterfly little butterfly keep night detain they detain cause wings made nobody bring down down down matter hurt woah matter fall woah these wings made  perrie nobody bring down down matter hurt matter fall these wings made,2012-08-04,Between Us,2012,215
Holiday,jesy told swear when cold pull closer like middle july july  leigh anne wanna little taste down nothing better than skin mine skin mine looking feeling lookin life give every time  jade jade jesy make night stop body babe touch like summer night feel like holiday night stop feel body babe dancing night away feel like holiday post  perrie leigh anne else world could ever come close baby close baby taking slow whenever wherever lasting forever baby turning  jade told give like heat yeah like summer summer that glad made mine  leigh anne wanna little taste down nothing better skin mine skin mine looking feeling lookin life give every time  jade leigh anne jade jade jesy jesy make night stop body babe touch like summer night feel like holiday holiday yeah night stop feel body babe dancing night away feel like holiday post  perrie jesy leigh anne else world could ever come close baby close baby close baby close baby taking slow whenever wherever lasting forever baby turning bridge jesy leigh anne love love touching holding nobody thing like feel like holiday know want babe  jade jade jesy jesy leigh anne make night stop body babe touch like summer night feel like holiday holiday yeah night stop feel body babe dancing night away dancing night away feel like holiday feel like holiday yeah post  perrie jesy leigh anne else world could ever come close baby close baby close baby close baby taking slow slow whenever wherever lasting forever baby turning turning yeah,2020-07-24,Between Us,2020,262
Told You So,jesy  jesy honest feeling girlfriend have cryin again just give time breathe happy that playing pretend said listen finally found  jade that never gonna love like please never gonna find like  girl come round mine tonight wine make wipes hold hold kettle talk bout told never gonna told  leigh anne jade honest best friend hotter yeah jokes lacking content yeah darling better than someone lies cheats scene every week every single club another girl again  perrie know never gonna love like yeah please never gonna find like woah  leigh anne jesy girl come round mine tonight wine make wipes hold hold hold hold kettle talk bout told told never gonna told bridge leigh anne jade jesy perrie never gonna told yeah never gonna told yeah never gonna warned glad know that know know know  jesy perrie leigh anne jade girl come round mine tonight wine make wipes hold hold hold hold yeah kettle talk bout told told baby never gonna told told just come round mine tonight baby come around wine make wipes hold hold hold hold kettle talk bout yeah yeah told never gonna told,2018-11-09,Between Us,2018,194
Salute,jesy jade ladies across world listen looking recruits hands stand salute killer heels sneakers pumps lace boots representing women salute salute ladies across world listen looking recruits hands stand salute killer heels sneakers pumps lace boots representing women salute salute  jade need camouflage female federal taking women hear  ladies across world listen looking recruits hands stand salute killer heels sneakers pumps lace boots representing women salute salute post  attention salute attention salute attention representing women salute salute  leigh anne leigh anne perrie perrie sisters everywhere warriors country needs ready ladies better keep steady ready shoot need ammunition mission truth divas queens need salute sisters everywhere warriors country needs ready ladies better keep steady ready shoot need ammunition mission truth representing women salute salute  jade need camouflage female federal taking women hear  ladies across world listen looking recruits hands stand salute killer heels sneakers pumps lace boots representing women salute salute post  attention salute attention salute attention representing women salute salute bridge leigh anne jade leigh anne jade think pretty things wrong standing strong carry knock again knock keep moving moving yeah stop hurricane ladies time awake yeah breakdown perrie attention listen ladies ladies attention individuals originals listen hear  ladies across world listen looking recruits hands stand salute killer heels sneakers pumps lace boots representing women salute salute post  perrie attention salute attention salute attention representing women salute salute  jesy jade ladies listen ladies listen time come attention begun listen listen listen stand together remember fight great attention women ladies great fighters listen representing women salute salute,2013-11-08,Between Us,2013,268
The Cure,perrie jesy perrie jesy lost faith made mistakes gonna find make easy better believe pain hold back live like that yeah made peace sorrow living tomorrow  jesy jesy perrie leigh anne perrie girl face face life that changed changed know know know know know  little lost anymore little hurt anymore little left anymore cause tears fell down anymore little messed anymore little lucked anymore little gone anymore yeah alright baby cure post  perrie yeah alright baby cure  leigh anne jade yeah yeah yeah need else this happiness always inside lord took minute find freedom found worth million puttin troubles behind need heart guide yeah  leigh anne jade girl face life that changed know know know know know know know  leigh anne jade little lost anymore little lost little hurt anymore woah little left anymore cause tears fell down anymore little messed anymore little lucked anymore little gone anymore yeah alright baby cure cure post  perrie jesy leigh anne alright baby cure cure alright baby cure cure alright baby cure bridge leigh anne learn love again cause cause finally understand  leigh anne jesy jade little lost anymore little little hurt anymore little left anymore little cause tears fell down anymore tears fell down little messed anymore tears fell down little lucked anymore tears fell down little gone anymore yeah alright baby cure baby cure little lost anymore more little hurt anymore more little left anymore more cause tears fell down anymore more more more little messed anymore more little lucked anymore more little gone anymore more yeah alright baby cure post  perrie jesy perrie jesy cure cure cure cure cure cure cure cure yeah alright baby cure cure cure cure yeah alright baby cure,2018-11-13,Between Us,2018,293
Little Me,jade leigh anne lives shadow lonely girl voice quiet hear word always talking heard catch know brave trapped inside scared talk know  jade jade leigh anne wish knew back know wish could somehow back time maybe listen advice  jesy tell speak tell shout talk louder prouder tell beautiful wonderful everything gotta speak gotta shout know right here right beautiful wonderful anything wanna little  jesy perrie yeah time write book single page hands clock turn yeah yeah yeah yeah yeah fast risk afraid take fall felt look small  perrie wish knew back know wish could somehow back time maybe listen advice  jesy perrie jade tell speak tell shout talk louder prouder tell beautiful wonderful everything know right here right gotta speak speak gotta shout shout know right here right beautiful wonderful anything wanna little bridge jade leigh anne little yeah yeah tell thing would woah  leigh anne jade perrie tell speak tell shout talk louder prouder tell beautiful wonderful beautiful wonderful everything shout woah gotta speak gotta shout know right here right beautiful wonderful anything wanna yeah yeah tell speak tell shout little talk louder prouder tell beautiful wonderful everything gotta speak shout know right here right beautiful wonderful anything wanna tell thing would  jade jesy perrie tell speak tell shout woah talk louder prouder tell beautiful wonderful woah everything gotta speak shout shout yeah know right here right beautiful wonderful anything wanna little,2013-11-08,Between Us,2013,241
Oops,perrie oops baby woke oops broke better friends accidentally need know oops baby love  jesy started what messed around caught yeah yeah know feelings like there nothing enough  leigh anne jesy little think touch body know long wait think touch body this could greatest mistake singing  little jesy oops baby woke oops broke better friends accidentally need know oops baby love  charlie jade charlie jade good messed around good guess turns lost good cause wishing every morning would come with next baby yeah  charlie charlie leigh anne think touch body this could greatest mistake singing  leigh anne jade oops oops baby woke woke oops broke better friends accidentally need know oops baby love post  leigh anne perrie love accidentally know love oops baby love yeah yeah yeah yeah bridge jade charlie charlie jade would take time machine said goodbye lied lied again beneficial friends tell goodbye singing  jade perrie oops baby yeah woke oops broke better friends accidentally need know oops baby love love love love  charlie jade oops love love still love singin oops love yeah yeah accidentally know love oops baby love,2016-11-18,Between Us,2016,194
Between Us,jade when curtains close lights down safe stay always stick around crown knocked rock stop never doubt doubt  leigh anne like damn history shared every misery lived every victory yeah synergy hurt hurting that walked fire flames higher made survivors yeah made fighters fighters  perrie here starting nothing comes nothing comes tween swear lose thing found cause love never leave nothing comes post  perrie nothing comes  leigh anne jade perrie remember finally found wings changed lives gave power anything anything every time break break down bounce back every track back never doubt never doubt  perrie jade leigh anne damn history yeah sweet melodies yeah lived every victory yeah synergy hurt hurtin yeah that walked fire fire flames higher yeah made survivors yeah made fighters fighters  jade here here starting here nothing comes between nothing comes swear lose thing found love never leave cause nothing comes post  perrie jade leigh anne nothing comes bridge jade perrie damn history even life moves moves hurt hurtin always  leigh anne leigh anne perrie jade here starting here nothing comes nothing comes swear lose thing found love never leave nothing comes post  perrie leigh anne jade swear lose thing found between  jade when curtains close lights down safe stay always stick around,2021-11-05,Between Us,2021,218
F.U.,jesy jade jesy jade damn night waiting waiting cooked favourite dressed real nice know know kissed came home late breakup speech ready then kiss face persuade  jade jesy leigh anne dirty disgusting nough loving hate really hate momma said date cheatin lyin know hidin cellphones cellphones right  jade sweet talk again wanna friends fool comes  leigh anne jesy jade friends sucker sucker explain complicated wish dead till take good good little mother mother brown eyes body revenge take keys benz  perrie jesy leigh anne dirty disgusting nough loving hate really hate momma said date cheatin lyin know hidin cellphones cellphones right  perrie sweet talk again wanna friends fool comes bridge jesy jesy jade leigh anne perrie wanna shoo shoo wanna screw practice lines mirror then smile that killer love baby need cause drop dead gorgeous cupid coming warn  jesy jesy jade jade perrie dirty disgusting nough loving hate really hate momma said date cheatin lyin know hidin cellphones right  leigh anne jade perrie jade jesy sweet talk again wanna friends wanna friend fool comes,2016-11-02,Between Us,2016,182
Gloves Up,jade purrrup your your gloves purrrup purrrup your your gloves better high  perrie jade sweat carpet blood walls nothing stop stop applause they thought over floor tappin comin more start riot ruckus rage ready rumble scared pain shots body tears face throwing towel runnin away  jesy nobody tell nothing just know gonna startin somethin  perrie eyes prize fight knock that takin moment mine brighter bright shine knock that refrain jesy perrie perrie purrrup your your gloves purrrup purrrup your your gloves better high  leigh anne baby gunnin gunnin gold cause breakin breaking mould rewrite history pages believe that make sure forget change green legend four divas  jade nobody tell nothing just know gonna startin somethin  leigh anne perrie jade leigh anne jade eyes prize fight knock that knock down takin moment mine takin brighter bright shine shine knock that post  jade perrie woah woah refrain jesy perrie leigh anne perrie purrrup your your gloves purrrup purrrup your your gloves better high purrrup your your gloves purrrup purrrup your your gloves better high,2020-11-06,Between Us,2020,180
Woman’s World,jesy every tells daughter baby pretty face says gotta work much harder than every single that  jesy goes every overworked underpaid just cause body made insane  jade never told gotta what gotta wear gotta speak never shouted heard lived woman world gotta change only want body brains think that works lived woman world post  jade living living living living livin woman world  leigh anne every night tells daughter know change gonna come there whisper water know tide gonna turn  leigh anne jade goes every overworked underpaid just cause body made insane  jade perrie never told gotta what gotta wear gotta speak never shouted heard lived woman world that gotta change only want body brains really think that works lived woman world bridge leigh anne jade perrie just look that think ever stop this gonna this gonna know when everyone treated only gotta yeah yeah yeah yeah  jesy perrie jade never told gotta what gotta wear gotta speak never shouted heard lived woman world gotta change only want body brains think that works lived woman world post  jesy leigh anne jade perrie living living living woman world living living woman woman world woman living living living living living yeah woman woman world  jade leigh anne jesy hear living living living living living woman woman world world,2018-11-16,Between Us,2018,225
Lightning,jesy cross desert ocean away pain storm chase sunlight running shadow could heal feel  leigh anne that shooting heart that like dart electricity electricity love tearing apart runnin like light dark electricity keeps hitting  leigh anne lightning strikes twice burns like wish love again lightning strikes twice burns nice wish love post   jade those eyes look enchanted your voice serenade sings heart kiss turned skies grey never away shelter rain  perrie that shooting heart that like dart electricity electricity love tearing apart runnin like light dark electricity keeps hitting  jade jade leigh anne lightning strikes twice burns like wish love again lightning strikes twice burns nice wish love post  jade yeah yeah yeah yeah yeah yeah interlude perrie fortuna velut luna statu variabilis semper crescis decrescis vita detestabilis bridge jesy jade jesy every time hear name baby pleasure pain  perrie lightning strikes twice burns like wish love again post  jade perrie yeah yeah fortuna yeah vita detesta yeah  perrie fortuna velut luna statu variabilis semper crescis decrescis vita detestabilis,2015-10-16,Between Us,2015,180
